Order	Genus	Species	NCBI_ID
Acorales	Acorus	gramineus	NC_026299
Acorales	Acorus	calamus	NC_007407
Alismatales	Zostera	marina	NC_036014
Alismatales	Wolffia	globosa	NC_048463
Alismatales	Thalassia	hemprichii	NC_043774
Alismatales	Symplocarpus	foetidus	AB206660
Alismatales	Alisma	plantago-aquatica	NC_044108
Alismatales	Elodea	canadensis	NC_018541
Alismatales	Triglochin	maritima	DQ407071
Alismatales	Potamogeton	perfoliatus	NC_029814
Arecales	Phoenix	dactylifera	NC_013991
Arecales	Elaeis	guineensis	NC_017602
Arecales	Elaeis	oleifera	EU016943
Arecales	Areca	catechu	NC_050163
Arecales	Nypa	fruticans	NC_029958
Arecales	Acoelorraphe	wrightii	NC_029973
Arecales	Sabal	domingensis	NC_026444
Arecales	Acrocomia	aculeata	NC_037084
Asparagales	Allium	cepa	NC_024813
Asparagales	Allium	ampeloprasum	NC_044666
Aspargales	Vanilla	planifolia	NC_026778
Aspargales	Asparagus	filicinus	NC_046783
Aspargales	Iris	domestica	NC_050833
Aspargales	Goodyera	procera	NC_029363
Aspargales	Cypripedium	calceolus	NC_045400
Aspargales	Anathallis	obovata	NC_043905
Chloranthales	Chloranthus	erectus	NC_039627
Chloranthales	Sarcandra	glabra	NC_039621
Chloranthales	Chloranthus	japonicus	NC_026565
Chloranthales	Chloranthus	spicatus	NC_009598
Commelinales	Commelina	communis	MK863371
Commelinales	Hanguana	malayana	NC_029962
Commelinales	Philydrum	lanuginosum	NC_039424
Commelinales	Eichhornia	crassipes	NC_046773
Dioscoreales	Dioscorea	elephantipes	NC_009601
Dioscoreales	Dioscorea	alata	NC_039707
Dioscoreales	Aletris	spicata	NC_033411
Dioscoreales	Tacca	leontopetaloides	NC_036658
Eudicots	Aconitum	angustius	NC_036357
Eudicots	Vitis	vinifera	NC_007957
Eudicots	Dioncophyllum	thollonii	NC_041276
Eudicots	Dillenia	indica	NC_042740
Liliales	Gloriosa	superba	NC_030065
Liliales	Luzuriaga	radicans	NC_025333
Liliales	Campynema	lineare	NC_026785
Liliales	Amana	anhuiensis	NC_034706
Liliales	Philesia	magellanica	NC_049020
Liliales	Rhipogonum	scandens	NC_049021
Liliales	Lapageria	rosea	NC_049017
Liliales	Paris	daliensis	NC_046454
Liliales	Lilium	brownii	NC_035588
Magnoliids	Drimys	granadensis	NC_008456
Magnoliids	Pseudowintera	colorata	NC_050985
Magnoliids	Tasmannia	lanceolata	NC_050986
Pandanales	Carludovica	palmata	NC_026786
Pandanales	Pandanus	tectorius	NC_042747
Pandanales	Croomia	heterosepala	NC_039673
Pandanales	Stemona	japonica	NC_039675
Pandanales	Xerophyta	viscosa	NC_043880
Pandanales	Xerophyta	retinervis	KT204842
Pandanales	Stemona	tuberosa	KT204751
Pandanales	Cyclanthus	bipartitus	KT205194
Petrosaviales	Japonolirion	osense	NC_036154
Petrosaviales	Petrosavia	stellaris	NC_023356
Poales	Triticum	aestivum	MG958556
Poales	Triticum	durum	MK253668
Poales	Oryza	sativa	KM088017
Poales	Zea	mays	MK348606
Poales	Pennisetum	glaucum	MN180104
Poales	Sorghum	bicolor	NC_008602
Poales	Secale	cereale	KC912691
Poales	Avena	sativa	MG687313
Poales	Phyllostachys	edulis	KP684145
Poales	Joinvillea	plicata	FJ486257
Poales	Flagellaria	indica	HQ182956
Poales	Eriocaulon	buergerianum	NC_042211
Poales	Carex	neurocarpa	NC_036037
Poales	Mayaca	fluviatilis	HQ182967
Poales	Ananas	comosus	NC_026220
Poales	Sparganium	stoloniferum	NC_044634
Poales	Typha	latifolia	NC_013823
Zingiberales	Musa	acuminata	HF677508
Zingiberales	Musa	balbisiana	NC_028439
Zingiberales	Zingiber	officinale	NC_044775
Zingiberales	Zingiber	spectabile	NC_020363
Zingiberales	Heliconia	collinsiana	NC_020362
Zingiberales	Ravenala	madagascariensis	NC_022927
Zingiberales	Roscoea	humeana	NC_046582
Outgroup	Illicium	anisatum	NC_034703
Outgroup	Kadsura	coccinea	NC_040116
Outgroup	Schisandra	chinensis	NC_034908
Outgroup	Nuphar	pumila	NC_037844
Outgroup	Cabomba	caroliniana	NC_031505
Outgroup	Victoria	cruziana	NC_035632
Outgroup	Amborella	trichopoda	NC_005086
Aspargales	Dracaena	draco	NC_048492
Aspargales	Phormium	tenax	JQ274985
Aspargales	Yucca	brevifolia	NC_032711
Poales	Leptaspis	banksii	NC_033863
Poales	Anomochloa	marantoidea	NC_014062
Aspargales	Beaucarnea	recurvata	DQ407104
Zingiberales	Canna	indica	MN832865
Liliales	Cardiocrinum	giganteum	NC_033896
